序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,香港,拆彈專家2,2020/12/31,華映娛樂股份有限公司,寰宇娛樂有限公司##阿里巴巴影業(北京)有限公司##廣州市英明文化傳播有限公司##寰宇縱橫世紀電影發行（北京）有限公司##映藝娛樂有限公司##尚乘數字媒體有限公司##寰宇影片發行有限公司,95,"97,290",-17.75%,"23,072,497","215,579","50,953,763"
2,中華民國,杏林醫院,2020/12/31,海樂影業股份有限公司,"海樂影業股份有限公司,影童國際有限公司",87,"26,862",-67.97%,"6,160,104","110,731","25,521,029"
3,美國,致命天際線,2020/12/31,車庫娛樂股份有限公司,RELAY MOTION KFT.,49,"4,634",-69.23%,"1,061,429","19,696","4,725,833"
4,日本,妄想代理人：前篇,2020/12/31,光年映畫有限公司,TOHOKUSHINSHA FILM CORPORATION,28,"2,129",-12.75%,"516,722","4,893","1,174,244"
5,美國,空中謎航,2020/12/31,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",39,"1,597",-50.53%,"356,616","4,825","1,099,681"
6,日本,午夜天鵝,2020/12/31,天馬行空數位有限公司,"KINOSHITA GROUP CO.,LTD.",19,"1,231",-15.86%,"271,920","2,928","661,217"
7,德國,水漾的女人,2020/12/31,海鵬影業有限公司,THE MATCH FACTORY,12,693,-14.13%,"137,160","1,500","301,349"
8,日本,惡靈春夢,2020/12/31,英屬維京群島商映畫聯合有限公司台灣分公司,"KING RECORD CO.,LTD.",3,18,-67.27%,"3,900",73,"16,000"
9,日本,廢青四重奏,2020/12/31,車庫娛樂股份有限公司,"SHOCHIKU CO., LTD.",3,15,-42.31%,"3,105",41,"8,795"
10,美國,靈魂急轉彎,2020/12/25,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",94,"125,535",-29.75%,"30,376,632","390,404","93,941,400"
11,美國,真愛鄰距離,2020/12/24,薩摩亞商雄讚股份有限公司台灣分公司,HANWAY FILMS LIMITED,42,205,-90.05%,"43,965","5,705","1,292,256"
12,中華民國,腿,2020/12/24,甜蜜生活製作有限公司,鏡文學股份有限公司##華文創股份有限公司##甜蜜生活製作有限公司,60,"4,128",-65.13%,"967,162","31,210","7,238,106"
13,英國,來者弒客,2020/12/24,車庫娛樂股份有限公司,VERSATILE,15,104,-91.41%,"23,850","3,801","864,973"
14,英國,生為女人,2020/12/24,聯影企業股份有限公司,WESTEND FILMS LTD,5,78,-75.70%,"14,530",761,"151,331"
15,美國,一家之煮,2020/12/24,車庫娛樂股份有限公司,"BLUE FOX ENTERTAINMENT 2, LLC",3,30,-89.83%,"6,120",725,"156,559"
16,越南,坑爹大作戰,2020/12/24,車庫娛樂股份有限公司,RELAY MOTION KFT.,3,12,-36.84%,"2,845",123,"27,475"
17,美國,瑰麗卡萊爾：浮華紐約,2020/12/24,車庫娛樂股份有限公司,WTFILMS,2,5,-44.44%,"1,025",40,"8,795"
18,日本,魔睡,2020/12/24,英屬維京群島商映畫聯合有限公司台灣分公司,"KING RECORD CO., LTD.",1,2,-75.00%,410,29,"5,555"
19,美國,愛在黎明破曉時,2020/12/24,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,26,-75.47%,"5,920","2,932","658,160"
20,法國,85年的夏天,2020/12/18,好威映象有限公司,Playtime,3,187,-58.44%,"44,620","2,603","581,007"
21,日本,順其自然的日子,2020/12/18,可樂藝術文創股份有限公司,PONY CANYON INC.,12,76,-58.01%,"18,396","1,495","358,900"
22,美國,高校棋蹟,2020/12/18,捷傑有限公司,"Cinema Management Group, LLC",2,32,-61.45%,"6,720","1,281","291,649"
