排行,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,中華民國,愛情城事,2024/08/30,華映國際文創股份有限公司,有戲娛樂股份有限公司##瘋念有限公司##要有有限公司##雪巴影視股份有限公司##超級娛樂有限公司##鷹美影業有限公司##台灣白令電影有限公司##華映娛樂股份有限公司##絕影股份有限公司##和寬攝影器材有限公司##滿滿額娛樂股份有限公司##台北影業股份有限公司##艾德國際投資股份有限公司##新輝股份有限公司##雲諾運動文教股份有限公司##馬氏影業工作室,87,"8,017",-29.92%,"2,063,294","20,486","5,263,108"
2,日本,詭異之家,2024/08/30,車庫娛樂股份有限公司,TOHO CO.  LTD.,62,"3,034",-12.06%,"765,860","6,484","1,652,071"
3,美國,龍族戰神：重生,2024/08/30,車庫娛樂股份有限公司,RELAY MOTION KFT.,83,"7,225",-6.48%,"1,723,356","14,951","3,626,992"
4,泰國,哈囉！萌鬼屋,2024/08/30,威視股份有限公司,M DISTRIBUTION CO.  LTD.,58,"1,885",-22.27%,"483,144","4,310","1,107,630"
5,南韓,XIA CONCERT MOVIE CHAPTER 1：RECREATION,2024/08/30,可樂藝術文創股份有限公司,Lotte CultureWorks Co.  Ltd.,7,645,15.80%,"314,030","1,202","616,340"
6,中華民國,滿七+默途,2024/08/30,映虹影視有限公司,映虹影視有限公司##太睿投資有限公司,3,576,0.70%,"136,810","1,148","274,540"
7,義大利,我們還有明天,2024/08/30,海鵬影業有限公司,Vision Distribution S.p.a.,17,713,21.05%,"151,515","1,302","278,013"
8,日本,刀劍亂舞 迴 -旋傳 親近的侍從們-,2024/08/25,天馬行空數位有限公司,Marvelous Inc.,16,688,-3.78%,"173,444","1,889","534,926"
9,南韓,變身機長,2024/08/23,車庫娛樂股份有限公司,RELAY MOTION KFT.,82,"6,775",-60.66%,"1,707,426","39,904","9,945,560"
10,泰國,跳越時空的愛戀,2024/08/23,采昌國際多媒體股份有限公司,Hollywood (Thailand) Co.  Ltd.,62,"5,032",-40.63%,"1,306,740","14,117","3,662,531"
11,美國,到我們為止,2024/08/23,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,64,"5,072",0.96%,"1,293,703","12,118","3,103,326"
12,中華民國,誰殺了比利比莉,2024/08/23,春暉映像有限公司,種子影業股份有限公司,9,45,-65.12%,"10,215",369,"86,891"
13,俄羅斯,末日倒數12小時,2024/08/23,車庫娛樂股份有限公司,RELAY MOTION KFT.,42,871,-82.45%,"211,806","11,299","2,797,910"
14,挪威,催眠,2024/08/23,好威映象有限公司,Totem Films,7,98,-75.56%,"22,335",731,"166,333"
15,美國,求救眨眨眼,2024/08/22,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,60,935,-79.78%,"240,147","11,355","2,896,621"
16,日本,派對咖孔明 Road to Summer Sonia,2024/08/21,薩摩亞商羚邦(亞洲)有限公司台灣分公司,DMM.com LLC,15,406,-69.54%,"107,428","3,355","895,015"
17,南韓,SEVENTEEN TOUR 'FOLLOW' AGAIN TO CINEMAS,2024/08/21,威秀影城股份有限公司,Trafalgar Releasing Ltd.,17,"4,239",-56.48%,"2,891,570","50,190","30,978,605"
18,日本,自白,2024/08/19,薩摩亞商雄讚股份有限公司台灣分公司,GAGA Corporation,23,631,0.00%,"144,862",764,"174,122"
19,日本,最後一擊,2024/08/16,政駒實業有限公司,GAGA Corporation.,2,0,-100.00%,0,722,"159,522"
20,日本,電影蠟筆小新：我們的恐龍日記,2024/08/16,車庫娛樂股份有限公司,ADK EMOTIONS INC.,86,"20,511",-64.79%,"5,183,439","233,759","58,887,235"
21,泰國,暹羅詛咒,2024/08/16,車庫娛樂股份有限公司,RELAY MOTION KFT.,2,7,-95.45%,"1,370","3,746","948,310"
22,美國,狸太怨,2024/08/16,聯影企業股份有限公司,RAVEN BANNER ENTERTAINMENT INC.,2,81,-73.62%,"21,138","1,311","306,924"
23,英國,天生女王,2024/08/16,海鵬影業有限公司,ELIZABETH PRODUCTIONS LIMITED,3,33,-76.43%,"6,550","1,093","233,927"
24,中華民國,角頭-大橋頭,2024/08/16,威視股份有限公司,曼尼娛樂投資股份有限公司##影一製作所股份有限公司,97,"78,353",-48.82%,"21,001,479","740,466","196,831,223"
25,美國,異形：羅穆路斯,2024/08/14,博偉電影股份有限公司,BUENA VISTA INTERNATIONAL  INC.,93,"30,889",-48.19%,"9,107,295","316,838","94,815,104"
26,英國,森之聲：猩火燎原,2024/08/11,網銀國際影視股份有限公司,GFM Animation,37,289,-90.15%,"70,697","5,345","1,299,855"
27,美國,邊緣禁地,2024/08/09,車庫娛樂股份有限公司,RELAY MOTION KFT.,3,17,-87.59%,"3,730","20,576","5,011,013"
28,俄羅斯,狗狗歌劇院,2024/08/09,希望影視行銷股份有限公司,Luminescence Kft.,3,33,-26.67%,"6,560","3,390","788,697"
29,瑞士,情慾出走的女人,2024/08/09,東昊影業有限公司,m-appeal,1,3,-72.73%,700,773,"167,952"
30,日本,言葉之庭,2024/08/09,車庫娛樂股份有限公司,RELAY MOTION KFT.,3,74,-67.97%,"17,380","5,796","1,473,882"
31,英國,九命貓的奇幻旅程,2024/08/08,英屬維京群島商高捷全球開發有限公司 台灣分公司,GFM Animation Limited,6,78,-88.24%,"16,133","10,538","2,556,993"
32,德國,怪奇家族,2024/08/07,原創娛樂股份有限公司,Studio 100 Film GmbH,3,21,-86.09%,"4,610","1,464","345,651"
33,中華民國,鬼才之道,2024/08/07,牽猴子股份有限公司,Sony Pictures International Productions##牽猴子股份有限公司##影一製作所股份有限公司##大慕可可股份有限公司##有戲娛樂股份有限公司##奇幻娛樂國際股份有限公司##一種態度電影股份有限公司,90,"17,310",-44.82%,"4,544,207","203,499","53,232,044"
34,英國,失速芭蕾,2024/08/05,鴻聯國際開發股份有限公司,EMBANKMENT FILMS LIMITED,8,143,-79.80%,"30,520","3,918","909,718"
35,日本,電影版屁屁偵探：再見親愛的夥伴，屁屁啊,2024/08/02,薩摩亞商雄讚股份有限公司台灣分公司,Toei Animation CO. LTD,6,28,-96.08%,"7,640","15,987","4,079,301"
36,南韓,絕地逃生,2024/08/02,車庫娛樂股份有限公司,RELAY MOTION KFT.,4,74,-65.26%,"18,290","25,105","6,362,981"
37,日本,劇場版 賽馬娘Pretty Derby：新時代之門,2024/08/02,薩摩亞商羚邦(亞洲)有限公司台灣分公司,Cygames Inc.,10,770,1.32%,"325,786","20,813","7,144,773"
38,中華民國,夏日的檸檬草,2024/08/02,威視股份有限公司,百薇國際娛樂股份有限公司##文化內容策進院(聯合出品公司)##滿滿額娛樂股份有限公司(聯合出品公司)##台北影業股份有限公司(聯合出品公司)##阿榮影業股份有限公司(聯合出品公司),42,"3,127",-71.60%,"830,042","120,753","32,258,654"
39,美國,圈套,2024/08/01,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,226,-48.40%,"68,134","47,796","12,473,098"
40,英國,致英格蘭,2024/07/30,威秀影城股份有限公司,The Royal National Theatre,3,12,-20.00%,"8,760",253,"177,560"
41,美國,熊貓大冒險,2024/07/28,天馬行空數位有限公司,Cinema Management Group  LLC,2,10,-91.80%,"2,150","2,613","613,601"
42,日本,四月，她將到來。,2024/07/26,車庫娛樂股份有限公司,TOHO CO.  LTD.,4,63,-62.72%,"15,840","14,103","3,567,291"
43,日本,追逐繁星的孩子,2024/07/26,車庫娛樂股份有限公司,RELAY MOTION KFT.,1,1,-90.91%,210,"2,373","588,964"
44,日本,劇場總集篇 孤獨搖滾！Re:,2024/07/26,曼迪傳播股份有限公司,Aniplex Inc.,4,148,-57.23%,"40,537","23,211","6,508,350"
45,日本,大室家-親愛的姊妹,2024/07/26,天馬行空數位有限公司,Hakuhodo DY music ## pictures Inc.,1,3,50.00%,400,682,"112,012"
46,美國,死侍與金鋼狼,2024/07/24,台灣華特迪士尼股份有限公司,BUENA VISTA INTERNATIONAL  INC.,84,"16,403",-50.55%,"4,548,658","1,036,077","294,879,206"
47,英國,激情年代,2024/07/23,威秀影城股份有限公司,The Royal National Theatre,5,36,"1,100.00%","26,160",224,"156,600"
48,日本,驀然回首,2024/07/22,采昌國際多媒體股份有限公司,Avex Pictures Inc.,66,"6,052",-54.14%,"1,612,785","191,512","51,444,103"
49,日本,大室家-親愛的朋友,2024/07/20,天馬行空數位有限公司,Hakuhodo DY music ## pictures Inc.,1,5,-83.87%,720,735,"119,653"
50,中華民國,嘎啦,2024/07/19,馬棋朵數位影像製作有限公司,馬棋朵數位影像製作有限公司##文化內容策進院##瑪菲司股份有限公司##華麗熊行銷有限公司##有樂股份有限公司##三幕電影製作有限公司 ##九日映像開發有限公司##后花園數位影像製作有限公司##森上娛樂國際有限公司 ##大岩文創國際有限公司,1,8,-83.33%,"1,970","42,679","10,891,431"
