產業,性別,總計,民意代表、主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,服務及銷售工作人員,農、林、漁、牧業生產人員,技藝有關工作人員、機械設備操作及勞力工
出版業,男性,17490,1921,8920,2822,2872,67,0,888
出版業,女性,24291,115,13025,4705,5688,220,0,538
出版業,合計,41781,2036,21945,7527,8560,287,0,1426
專門設計業,男性,27569,720,22038,4097,538,0,0,176
專門設計業,女性,36409,794,25684,5430,4294,0,0,207
專門設計業,合計,63978,1514,47722,9527,4832,0,0,383
創作及藝術表演業,男性,8763,71,6662,1117,269,0,0,644
創作及藝術表演業,女性,8216,287,5356,1619,741,123,0,90
創作及藝術表演業,合計,16979,358,12018,2736,1010,123,0,734
廣播、電視節目編排及傳播業,男性,11133,823,3376,4499,1017,0,0,1418
廣播、電視節目編排及傳播業,女性,9978,615,4076,3264,1998,0,0,25
廣播、電視節目編排及傳播業,合計,21111,1438,7452,7763,3015,0,0,1443
運動、娛樂及休閒服務業,男性,38780,1182,615,11649,8410,9202,308,7414
運動、娛樂及休閒服務業,女性,35528,778,433,6531,13543,8113,48,6082
運動、娛樂及休閒服務業,合計,74308,1960,1048,18180,21953,17315,356,13496
廣告業及市場研究業,男性,12661,1237,5360,3513,503,101,0,1947
廣告業及市場研究業,女性,22597,2106,7880,5570,6268,154,0,619
廣告業及市場研究業,合計,35258,3343,13240,9083,6771,255,0,2566
影片及電視節目業；聲音錄製及音樂發行業,男性,9432,458,3243,5011,176,266,0,278
影片及電視節目業；聲音錄製及音樂發行業,女性,9105,439,2869,3083,1759,860,0,95
影片及電視節目業；聲音錄製及音樂發行業,合計,18537,897,6112,8094,1935,1126,0,373
總就業人數,男性,125828,6412,50214,32708,13785,9636,308,12765
總就業人數,女性,146124,5134,59323,30202,34291,9470,48,7656
總就業人數,合計,271952,11546,109537,62910,48076,19106,356,20421
各類型人力占比,男性,46.27%,2.36%,18.46%,12.03%,5.07%,3.54%,0.11%,4.69%
各類型人力占比,女性,53.73%,1.89%,21.81%,11.11%,12.61%,3.48%,0.02%,2.82%
各類型人力占比,合計,100.00%,4.25%,40.28%,23.13%,17.68%,7.03%,0.13%,7.51%
